caseNumber,accountNumber,customerName,customerEmail,customerPhone,amount,currency,overdueDays,dueDate,status,priority,assignedDcaId,assignedDcaName,slaStatus,productType,region
FX-2024-001,ACC-78945,Acme Corporation,billing@acme.com,555-0101,12500,USD,15,2026-01-21,new,high,,,on_track,B2B Services,North
FX-2024-002,ACC-78946,Global Logistics Inc,ap@globallog.com,555-0102,8900,USD,45,2025-12-22,new,medium,,,on_track,Shipping,East
FX-2024-003,ACC-78947,Tech Innovations LLC,finance@techinno.com,555-0103,25000,USD,95,2025-11-02,new,high,,,on_track,Software License,West
FX-2024-004,ACC-78948,Retail Mart Co,payments@retailmart.com,555-0104,15600,USD,22,2026-01-14,new,medium,,,on_track,Retail Goods,South
FX-2024-005,ACC-78949,Manufacturing Pro,ar@mfgpro.com,555-0105,45000,USD,120,2025-10-08,new,critical,,,on_track,Industrial Equipment,North
FX-2024-006,ACC-78950,Service Solutions,billing@servicesol.com,555-0106,7800,USD,18,2026-01-18,new,low,,,on_track,Consulting,East
FX-2024-007,ACC-78951,Digital Media Group,payment@digitalmg.com,555-0107,11200,USD,67,2025-11-30,new,medium,,,on_track,Marketing Services,West
FX-2024-008,ACC-78952,Healthcare Systems,finance@healthsys.com,555-0108,33000,USD,105,2025-10-23,new,high,,,on_track,Medical Equipment,South
FX-2024-009,ACC-78953,Education First,billing@edufirst.com,555-0109,9500,USD,12,2026-01-24,new,medium,,,on_track,Educational Services,North
FX-2024-010,ACC-78954,Construction Ltd,ap@constructltd.com,555-0110,52000,USD,88,2025-11-09,new,critical,,,on_track,Construction Materials,East
FX-2024-011,ACC-78955,Food Distributors,billing@fooddist.com,555-0111,14300,USD,25,2026-01-11,new,medium,,,on_track,Food & Beverage,West
FX-2024-012,ACC-78956,Auto Parts Inc,finance@autoparts.com,555-0112,19800,USD,58,2025-12-09,new,high,,,on_track,Automotive,South
FX-2024-013,ACC-78957,Energy Solutions,ar@energysol.com,555-0113,67000,USD,130,2025-09-28,new,critical,,,on_track,Utilities,North
FX-2024-014,ACC-78958,Fashion Retail,payments@fashionret.com,555-0114,8200,USD,19,2026-01-17,new,low,,,on_track,Apparel,East
FX-2024-015,ACC-78959,Telecom Services,billing@telecom.com,555-0115,28500,USD,72,2025-11-25,new,medium,,,on_track,Telecommunications,West
FX-2024-016,ACC-78960,Pharmaceutical Co,finance@pharmaco.com,555-0116,41000,USD,98,2025-10-30,new,high,,,on_track,Pharmaceuticals,South
FX-2024-017,ACC-78961,Insurance Group,ap@insgroup.com,555-0117,16700,USD,14,2026-01-22,new,medium,,,on_track,Insurance,North
FX-2024-018,ACC-78962,Real Estate Holdings,billing@realestate.com,555-0118,89000,USD,110,2025-10-18,new,critical,,,on_track,Real Estate,East
FX-2024-019,ACC-78963,Transportation Inc,payments@transport.com,555-0119,12100,USD,31,2026-01-05,new,medium,,,on_track,Transportation,West
FX-2024-020,ACC-78964,Hospitality Services,finance@hospital.com,555-0120,22400,USD,64,2025-12-03,new,high,,,on_track,Hospitality,South
FX-2024-021,ACC-78965,Legal Advisors,billing@legaladv.com,555-0121,18900,USD,102,2025-10-26,new,medium,,,on_track,Legal Services,North
FX-2024-022,ACC-78966,Engineering Firm,ar@engfirm.com,555-0122,35600,USD,11,2026-01-25,new,low,,,on_track,Engineering,East
FX-2024-023,ACC-78967,Marketing Agency,payments@marketag.com,555-0123,9700,USD,48,2025-12-19,new,medium,,,on_track,Advertising,West
FX-2024-024,ACC-78968,Financial Services,finance@finserv.com,555-0124,71000,USD,125,2025-10-03,new,critical,,,on_track,Financial Services,South
FX-2024-025,ACC-78969,Agriculture Co,billing@agricult.com,555-0125,13800,USD,23,2026-01-13,new,medium,,,on_track,Agriculture,North
FX-2024-026,ACC-78970,Entertainment Inc,ap@entertain.com,555-0126,26500,USD,76,2025-11-21,new,high,,,on_track,Entertainment,East
FX-2024-027,ACC-78971,Security Systems,payments@security.com,555-0127,19200,USD,91,2025-11-06,new,medium,,,on_track,Security,West
FX-2024-028,ACC-78972,Chemical Industries,finance@chemical.com,555-0128,44000,USD,16,2026-01-20,new,high,,,on_track,Chemicals,South
FX-2024-029,ACC-78973,Aerospace Tech,billing@aerospace.com,555-0129,95000,USD,135,2025-09-23,new,critical,,,on_track,Aerospace,North
FX-2024-030,ACC-78974,Printing Services,ar@printing.com,555-0130,7300,USD,27,2026-01-09,new,low,,,on_track,Printing,East
FX-2024-031,ACC-78975,Packaging Solutions,payments@packaging.com,555-0131,15400,USD,53,2025-12-14,new,medium,,,on_track,Packaging,West
FX-2024-032,ACC-78976,Textiles Manufacturing,finance@textiles.com,555-0132,32100,USD,107,2025-10-21,new,high,,,on_track,Textiles,South
FX-2024-033,ACC-78977,Electronics Wholesale,billing@electronics.com,555-0133,21600,USD,20,2026-01-16,new,medium,,,on_track,Electronics,North
FX-2024-034,ACC-78978,Furniture Depot,ap@furniture.com,555-0134,17900,USD,69,2025-11-28,new,medium,,,on_track,Furniture,East
